건강생활지원센터명,건강생활지원센터 유형,소재지도로명주소,위도,경도,운영시작시각,운영종료시각,휴무일정보,건강증진사업내용,기타이용안내,의사수,간호사수,영양사수,신체활동전문인력수,물리/작업치료사수,사회복지사수,간호조무사수,기타인력현황,건강검진장비현황,체력측정장비현황,운동장비현황,금연사업장비현황,영양사업장비현황,절주사업장비현황,재활사업장비현황,기타보건교육장비현황,감염병예방장비현황,운영기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
서부건강생활지원센터(안산시),기본형,경기도 안산시 단원구 신길중앙로 15(신길동),37.33799202,126.7621943,09:00,18:00,토+일+공휴일,대사증후군 검진+금연클리닉+흡연예방교육+비만ㆍ고지혈증 관리+당뇨ㆍ고혈압 관리+영양운동절주 통합상담+나트륨줄이기 염도계 대여,,0,2,1,0,0,0,0,행정인력(1),혈압계+고지혈검사기+혈당검사기+빈혈검,인바디+악력측정기+신장체중계,지능형트레드밀+지능형 레그프레스+지능,일산화탄소(CO)측정기+폐활량측정기,염도계,없음,없음,X,X,031-481-6466,경기도 안산시단원구보건소,2022-08-08,B553430,한국건강증진개발원
반월건강생활지원센터,기본형,경기도 안산시 상록구 건건로 119-4,37.31219292,126.904515,09:00,18:00,일+공휴일,금연+신체활동+심뇌혈관질환예방관리,어린이건강체험관 운영,0,2,1,0,1,0,0,보건직(1),인바디+혈압계,종합체력진단장비,체스트링크+레그링크+숄더링크+콕사링크,일산화탄소(CO)측정기,염도계+식단/식품모형,음주체험고글,하체근력강화기,O,X,031-481-3792,경기도 안산시상록구보건소,2022-08-08,B553430,한국건강증진개발원
공도건강생활지원센터,기본형,경기도 안성시 공도읍 공도로 51-11,36.99971892,127.1661071,09:00,18:00,토+일+공휴일,신체활동+만성질환예방관리,꿈나무건강체험관 운영,0,4,0,1,1,0,0,임상병리사(1)+방사선사(1),인바디+혈압계+혈당계+총콜레스테톨,악력측정기+자전거에르고미터+각근력측정,런닝머신+헬스자전거,흡연자 구강모형,어린이 영양식품 모형,어린이 음주예방모형+음주체험고글,휠체어+워커,X,X,031-678-6801,경기도 안성시보건소,2022-08-08,B553430,한국건강증진개발원
동부건강생활지원센터(양주시),기본형,경기도 양주시 화합로 1426번길 90,37.83814181,127.068036,09:00,18:00,토+일+공휴일,금연+신체활동+심뇌혈관+대사증후군+모바일헬스케어+영양플러스+재활,,0,3,1,1,3,0,0,행정인력(3),인바디+혈압계,자전거＋체력측정및운동가이드시스템,런닝머신+순환식유압운동기,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형,없음,순환운동장비+슬링+워킹레일+파라포디움,O,X,031-8082-4365,경기도 양주시보건소,2022-08-08,B553430,한국건강증진개발원
서부건강생활지원센터(양주시),기본형,경기도 양주시 광적면 부흥로 618번길 303,37.81249969,126.9723072,09:00,18:00,토+일+공휴일,금연+신체활동+심뇌혈관+대사증후군+한의약+영양사업,어린이건강체험관 운영,0,2,1,1,0,0,0,상담인력(3),인바디+혈압계,자전거＋체력측정및운동가이드시스템,런닝머신+순환식유압운동기,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형+영양프로그램,어린이 음주예방모형+음주체험고글,없음,O,X,031-8082-4375,경기도 양주시보건소,2022-08-08,B553430,한국건강증진개발원
오산시건강생활지원센터,기본형,"경기도 오산시 문헌공로 45, 1층",37.17664285,127.0545674,09:00,18:00,토+일+공휴일,심뇌혈관질환예방관리+한의약건강증진+운동관리,,0,3,1,1,0,0,0,행정인력(1),인바디+혈압계+신장계,없음,런닝머신+트레드밀+사이클+레그프레스+,없음,염도계+식품모형,없음,없음,X,X,031-8036-6580,경기도 오산시보건소,2022-08-08,B553430,한국건강증진개발원
마장건강생활지원센터,기본형,경기도 이천시 마장면 중앙로 81,37.24993986,127.3585048,09:00,18:00,토+일+공휴일,금연+신체활동+심뇌혈관질환예방관리+모자보건+구강+치매,건강체험관 운영,0,0,0,1,0,0,0,,인바디+혈압계+체중계,자전거에르고미터+윗몸일으키기+유연성측,없음,없음,없음,없음,기립훈련기,O,X,031-644-7186~,경기도 이천시보건소,2022-08-08,B553430,한국건강증진개발원
포승건강생활지원센터,기본형,경기도 평택시 포승읍 여술로 47,36.98936154,126.847404,09:00,18:00,토+일+공휴일,금연+신체활동+심뇌혈관질환예방관리+만성질환+영양+비만예방+재활,,0,1,2,0,1,0,0,,인바디+혈압계,없음,순환식 유압 운동기+스텝퍼+수력저항식,일산화탄소(CO)측정기+흡연자 폐 모,염도계+식단/식품모형,없음,전동 작업치료테이블 세트+상하지 운동,X,X,031-8024-8626,경기도 평택시평택보건소,2022-08-08,B553430,한국건강증진개발원
남부건강생활지원센터(강릉시),기본형,강원도 강릉시 강릉대로313번길 6,37.76499482,128.9019205,09:00,18:00,토+일+공휴일,재활사업+만성질환예방및관리사업,동부권노인종합복지관과 동일건물,0,3,1,0,1,0,0,행정인력(2),혈압계,없음,런닝머신,없음,없음,없음,트레드밀+하체근력강화기,O,O,033-660-2488,강원도 강릉시보건소,2022-08-08,B553430,한국건강증진개발원
고성군건강생활지원센터,기본형,강원도 고성군 거진읍 행랑골길 24-1,38.44927612,128.4551781,09:00,18:00,토+일+공휴일,구강보건+방문건강관리+치매관리+심뇌혈관질환관리+신체활동+금연,,0,3,0,1,0,0,0,행정인력(1),인바디+혈압계+혈당계+콜레스테롤측정기,체력복합측정기(근력ㆍ순발력ㆍ민첩성ㆍ평,런닝머신+고정식자전거+상지운동기+하지,일산화탄소(CO)측정기,염도계,없음,없음,X,X,033-680-4129/,강원도 고성군보건소,2022-08-08,B553430,한국건강증진개발원
북삼건강생활지원센터,기본형,강원도 동해시 청운로 96,37.48852873,129.1026735,09:30,17:00,토+일+공휴일,대사증후군+신체활동+비만+금연,체력진단실운영,0,5,2,1,1,0,0,행정인력(2),인바디+혈압계+요화학검사기+콜레스테롤,악력측정기,런닝머신+순환식유압운동기+좌식자전거+,일산화탄소(CO)측정기+폐활량 측정기,염도계+식단/식품모형+영양프로그램,없음,없음,O,O,033-530-2423,강원도 동해시보건소,2022-08-08,B553430,한국건강증진개발원
남원주건강생활지원센터,기본형,강원도 원주시 단관공원길 86,37.31637775,127.9573873,09:00,18:00,일+공휴일,금연+신체활동+영양+건강상담실,건강체험관 운영,0,3,1,1,0,0,0,,인바디+혈압계+혈당계+콜레스테롤측정기,자세측정기+종합체력진단장비,토구+발란자 볼스텝+에어로스텝+에어큐,일산화탄소(CO)측정기+흡연자 구강모,식단/식품모형+영양프로그램+당도계,어린이 음주예방모형+음주체험고글,없음,O,X,033-737-5205,강원도 원주시보건소,2022-08-08,B553430,한국건강증진개발원
서원주건강생활지원센터,기본형,강원도 원주시 지정면 가곡로 75-2,37.37717937,127.8754203,09:00,18:00,토+일+공휴일,만성질환 관리+금연+영양+운동,,0,3,1,1,0,0,0,,인바디+혈압계+당화혈색소측정기+대사증,체력진단장비(에필코치),운동교구-토구 점퍼,일산화탄소(CO)측정기,영양교육용 냉장고+영양교육용 밥솥+영,없음,없음,O,X,033-737-3723,강원도 원주시보건소,2022-08-08,B553430,한국건강증진개발원
서면건강생활지원센터,기본형,강원도 철원군 서면 무금로48번길 15,38.24438377,127.4374319,09:00,18:00,토+일+공휴일,금연+구강+신체활동+심뇌혈관질환예방관리,,0,0,0,0,0,1,1,임상병리사(1)+치과위생사(1),인바디+혈압계+혈당기+콜레스테롤측정기,없음,실내자전거,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형,없음,없음,X,X,033-450-5654,강원도 철원군보건소,2022-08-08,B553430,한국건강증진개발원
춘천시건강생활지원센터,기본형,강원도 춘천시 우두하리길 21(우두동),37.90185741,127.741043,09:00,18:00,일+공휴일,신체활동+만성질환예방관리+재활+영양+신체활동+금연+절주,어린이건강체험관 운영,0,2,1,1,2,0,0,행정인력(3),인바디+혈압계,에필코치,런닝머신+ 좌식바이크,없음,없음,음주체험고글(어린이),전자공압식운동기기,O,O,033-250-4489~,강원도 춘천시보건소,2022-08-08,B553430,한국건강증진개발원
평창군건강생활지원센터,기본형,강원도 평창군 진부면 석두산2길 13,37.63726765,128.553517,09:00,21:00,일+공휴일,운동+영양+신체활동+금연+심뇌혈관질환예방관리,방문원격+건강체험관+재활치료실,0,4,0,3,1,2,3,상담사(3)+행정보조인력(1),인바디+혈압계,악력측정기+자전거에르고미터,런닝머신+순환식유압운동기,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형+영양프로그램,음주예방모형+음주체험고글,기립훈련기+어깨회전운동기+슬링,O,O,033-336-6128,강원도 평창군보건의료원,2022-08-08,B553430,한국건강증진개발원
북방면건강생활지원센터,기본형,강원도 홍천군 북방면 상화계2길 17,37.70603412,127.854258,09:00,18:00,토+일+공휴일,북방면 건강증진프로그램 운영-만성질환관리사업-신체활동증진사업-영양사업-건강플러스마을사업등,인바디사전예약요망,0,2,1,0,0,0,0,행정인력(2)+청사관리(1),혈압측정기계+당뇨측정기계+당화혈색소 ,악력측정기+자전거 에르고미터,런닝머신상하체근력기구안마의자좌식싸이클,일산화탄소(CO)측정기,염도계+식단/식품모형+영양프로그램,어린이 음주예방모형+음주체험고글,없음,O,O,033-430-4131~,강원도 홍천군보건소,2022-08-08,B553430,한국건강증진개발원
맹동건강생활지원센터,기본형,충청북도 음성군 맹동면 사예2길 35,36.91364052,127.5449461,09:00,18:00,토+일+공휴일,신체활동+만성질환 예방 및 관리사업,건강원스톱 운영,0,1,0,0,0,0,0,치위생사(1)+방사선사(1),인바디+혈압계+간이혈당측정기+빈혈측정,없음,런닝머신+상체근력강화기(7대)+하체근,흡연의 결과모형+폐비교모형+금연교육인,지방근육모형+비만체험조끼+주방기구소독,없음,없음,O,X,043-871-2191,충청북도 음성군보건소,2022-08-08,B553430,한국건강증진개발원
용두동건강생활지원센터,기본형,충청북도 제천시 용두대로17길 8,37.14231622,128.200363,09:00,18:00,토+일+공휴일,신체활동+만성+영양+구강,,0,2,1,1,0,0,1,행정인력(1)+치과위생사(1)+청사관,인바디+혈압계+혈당측정기+당화혈색소검,악력+배근력+종합기능+앉아윗몸앞굽히기,순환식공압운동기(숄드프레스+풀다운+체,일산화탄소(CO)측정기+흡연자 구강모,염도계+당도계+당뇨밥솥+전자저울+식단,어린이 음주예방모형+음주체험고글,없음,X,O,043-641-3282,충청북도 제천시보건소,2022-08-08,B553430,한국건강증진개발원
덕산건강생활지원센터,기본형,충청북도 진천군 덕산읍 연미로 31,36.89973094,127.5282012,09:00,18:00,토+일+공휴일,신체활동+영양+임산부어린이+만성질환예방관리,건강체험관 운영,0,2,0.5,0.5,1,0,1,,신장계+인바디+스트레스측정기+혈압계+,없음,순환식 공압운동기+실내자전거,어린이 흡연예방 모형(폐모형+COPD,영양프로그램실,음주체험고글,없음,X,O,043-539-7422,충청북도 진천군보건소,2022-08-08,B553430,한국건강증진개발원
금산군건강생활지원센터,기본형,충청남도 금산군 금산읍 건삼전3길 14,36.10157802,127.491428,09:00,18:00,토+일+공휴일,신체활동+심뇌혈관질환예방관리+금연+절주+구강,,0,0,0,1,1,0,1,행정인력(2),인바디+혈압계+자율신경측정기+콜레스테,자전거에르고미터 2종+워킹에르고미터+,근력강화 순환운동 유압식 운동기 6종,일산화탄소(CO)측정기+흡연자 구강모,없음,없음,재활 암에르고미터 1종,O,O,041-754-8334,충청남도 금산군보건소,2022-08-08,B553430,한국건강증진개발원
논산시건강생활지원센터,기본형,충청남도 논산시 해월로125번길 26,36.20478349,127.0822883,09:00,18:00,토+일+공휴일,신체활동+영양+구강보건+대사증후군관리,건강체험관 운영,0,2,1,1,0,0,0,치과위생사(1),인바디+자동신장체중계+혈압계+체온계+,악력측정기+에어로바이크측정기+각근력측,순환식유압운동기+하체근력강화용자전거,일산화탄소(CO)측정기+금연조형물,염도계+당도계+식품교환표+식품모형,음주체험고글,없음,X,X,041-746-8027,충청남도 논산시보건소,2022-08-08,B553430,한국건강증진개발원
송악건강생활지원센터,기본형,충청남도 당진시 송악읍 신복운로 99,36.93870119,126.7786187,09:00,18:00,일+공휴일,신체활동+심뇌혈관질환예방관리+영양실습교육,힐링체험관 운영,0,2,1,1,0,0,0,,인바디+혈압계+혈당계,근력측정장비6종,런닝머신+순환운동기기,없음,염도계+식단/식품모형+영양프로그램,없음,없음,O,X,041-360-6080,충청남도 당진시보건소,2022-08-08,B553430,한국건강증진개발원
배방건강생활지원센터,기본형,충청남도 아산시 배방읍 용연동길 50,36.79320709,127.0939081,09:00,18:00,토+일+공휴일,금연+신체활동+심뇌혈관질환예방관리+만선질환관리+아토피천식사업+건강프로그램,어린이건강체험관운영,0,2,0,1,0,0,0,치과위생사(1),인바디+혈압계+혈당계+콜레스테롤검사기,자전거에르고미터+트레드밀,순환식유압운동기,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형,어린이음주예방모형+음주체험고글,없음,O,X,041-536-8722,충청남도 아산시보건소,2022-08-08,B553430,한국건강증진개발원
청수건강생활지원센터,기본형,"충청남도 천안시 동남구 청수6로 106-3, 6층",36.78962635,127.1553044,09:00,18:00,토+일+공휴일,금연+한의약+신체활동+심뇌혈관질환예방관리+치매+영양+비만+방문건강관리,천안새마을금고연계,0,3,1,2,0,0,1,,자동신장+체중계(2)+(이동형)체성분,악력측정기+자전거에르고미터,트레드밀(2)+순환식유압운동기(12),일산화탄소(CO)측정기+요중 니코틴 ,염도계,없음,없음,O,O,041-521-5897,충청남도 천안시동남구보건소,2022-08-08,B553430,한국건강증진개발원
성정건강생활지원센터,기본형,충청남도 천안시 서북구 서부8길 29,36.8197755,127.1398835,09:00,18:00,토+일+공휴일,금연+신체활동+심뇌혈관질환예방관리+구강+방문+영양+어린이,건강체험관 운영,0,1,0,1,0,0,0,의료기술(1),인바디+혈압계,악력측정기+자전거에르고미터,런닝머신+순환식유압운동기,일산화탄소(CO)측정기,염도계,어린이 음주예방모형,없음,O,X,041-521-2584,충청남도 천안시서북구보건소,2022-08-08,B553430,한국건강증진개발원
안면읍건강생활지원센터,기본형,충청남도 태안군 안면읍 장터로 149,36.52067135,126.344492,09:00,18:00,일+공휴일,신체활동+치매+금연+심뇌혈관질환예방관리+구강,국가예방접종,1,5,0,0,2,0,0,,인바디+혈압계,체성분 분석기+자동신장체중계(성인용/,레그 익스텐션 머신+숄더 프레스 머신,흡연자 구강 모형+폐 비교 모형+흡연,없음,없음,없음,X,X,041-671-5271,충청남도 태안군보건의료원,2022-08-08,B553430,한국건강증진개발원
서부건강생활지원센터(군산시),기본형,전라북도 군산시 설림5길 83,35.97431549,126.6792743,09:00,18:00,토+일+공휴일,신체활동+영양+비만+치매+방문,,0,3,1,1,0,0,0,행정인력(2),인바디+혈압측정기(자동·수동)+혈당측,악력측정기+종합체력측정기+유연성측정기,런닝머신+좌식싸이클+벨트마사지기+로잉,일산화탄소(CO)측정기+폐비교모형+흡,염도계+당도계+염분량입체모형패널+고혈,알코올중독의증상(액자)+다양한질환의원,없음,X,X,063-454-5172,전라북도 군산시보건소,2022-08-08,B553430,한국건강증진개발원
동부건강생활지원센터(익산시),기본형,전라북도 익산시 금마면 고도길 26-6,35.99379252,127.0501633,09:00,18:00,토+일+공휴일,신체활동+영양+만성및심뇌혈관질환예방관리+치매예방관리+금연+절주,,0,1,1,1,0,0,0,,인바디+혈압계+혈당측정기+총콜레스테롤,악력측정기+자전거에르고미터+유연성검사,순환식유압운동기+런닝머신+사이클+윗몸,직접흡연시연기모형,염도계+식품구성자전거+교환단위모형+소,어린이 음주체험고글,없음,X,X,063-859-7472,전라북도 익산시보건소,2022-08-08,B553430,한국건강증진개발원
익산시건강생활지원센터,기본형,전라북도 익산시 목천로 326,35.92690996,126.9566872,09:00,18:00,토+일+공휴일,통합건강증진사업+만성질환예방관리사업+재활보건사업,,0,4,2,1,3,0,2,행정인력(1),인바디+혈압계,악력측정기+윗몸일으키기측정기+에어로바,런닝머신+사이클+더블트위스트+버터플라,흡연자 폐모형+담배쩔은 치아모형+금연,식단모형+영양교육 교구+소화과정 등신,음주체험고글+음주체험다트,계단훈련기+스트레치용발판ㆍ접이식워커+,O,X,063-859-4908,전라북도 익산시보건소,2022-08-08,B553430,한국건강증진개발원
장계면건강생활지원센터,기본형,전라북도 장수군 장계면 한들로 124,35.73112933,127.5856748,09:00,18:00,토+일+공휴일,심뇌혈관질환 예방관리+영양+신체활동+금연+장계면 보건사업 등,운동실+조리실습실+대사검사실+수유실+,0,1,1,1,0,0,0,행정인력(1)+상담사(1),혈압기+체성분측정기,신장체중자동측정기외1종,런닝머신+렛플다운 외 10종,금연교육모형 3종,염도계 외 9종,없음,없음,O,X,063-352-8700,전라북도 장수군보건의료원,2022-08-08,B553430,한국건강증진개발원
골약건강생활지원센터,기본형,전라남도 광양시 성황3길 19(성황동),34.93757509,127.6777208,09:00,18:00,토+일+공휴일,금연+영양+신체활동+만성질환관리+치매예방+임산부및 어린이건강증진,보건교육실 운영,0,1,1,1,0,0,0,행정인력(2),혈압+혈당+빈혈+고지혈증+당화혈색소+,인바디,러닝머신+입식싸이클,일산화탄소(CO)측정기+폐비교모형+흡,염도계+당도계+식단/식품모형+홀쭉이ㆍ,간비교모형+가상음주체험키트+절주모형,없음,O,O,061-797-4894,전라남도 광양시보건소,2022-08-08,B553430,한국건강증진개발원
광영건강생활지원센터,기본형,전라남도 광양시 금영로 127,34.96197069,127.7194206,09:00,18:00,일+공휴일,금연+영양+신체활동+심뇌혈관질환예방관리+치매,,0,2,1,1,0,0,0,행정인력(1),인바디+혈압계+자동혈압계+당화혈색소측,악력계+윗몸일으키기+종합기능체력측정기,공압식운동기기(6)+트레드밀+좌식사이,일산화탄소(CO)측정기+흡연자 폐모형,염도계+소화기 모형+식품자전거모형+식,간비교 모형+음주체험고글,없음,O,X,061-797-4075,전라남도 광양시보건소,2022-08-08,B553430,한국건강증진개발원
빛가람건강생활지원센터,기본형,전라남도 나주시 빛가람로 721,35.0222063,126.7906417,09:00,18:00,토+일+공휴일,신체활동+심뇌혈관질환예방관리+여성어린이특화+금연+방문건강관리,건강증진실 운영,0,2,0,1,1,0,1,,인바디+혈압계+피하지방측정기,체전굴측정기+근력측정기+악력측정기+윗,런닝머신+하체근력강화 자전거+레그프레,일산화탄소(CO)측정기+흡연자 구강모,염도측정기+영양식단계획요령 지도자료+,가상음주체험세트,없음,X,O,061-339-4751,전라남도 나주시보건소,2022-08-08,B553430,한국건강증진개발원
남악건강생활지원센터,기본형,전라남도 무안군 삼향읍 남악3로 40,34.80941904,126.4610002,09:00,18:00,토+일+공휴일,신체활동+금연+치매+모자보건+만성질환예방관리,활력120세 방 운영,0,4,0,1,0,0,0,청사관리(1),인바디+혈압계,종합체력검사장비(순발력ㆍ민첩성ㆍ평형성,런닝머신+트레드밀+싸이클+스텝퍼+일립,일산화탄소(CO)측정기+흡연실험모형+,식단+식품 모형,음주운전모형+가상음주체험고글,정형용 운동장치+치료용 계단/사다리+,O,X,061-450-5004,전라남도 무안군보건소,2022-08-08,B553430,한국건강증진개발원
신대건강생활지원센터,기본형,전라남도 순천시 해룡면 신대로 142,34.93618947,127.5500873,09:00,18:00,토+일+공휴일,금연+신체활동+건강검진+영양사업,,0,6,0,1,1,0,0,행정인력(3),혈당+콜레스테롤+시력+당화혈색소+신장,악력측정기+자전거에르고미터+배근력측정,런닝머신+싸이클+순환식유압운동기+업도,일산화탄소(CO)측정기,염도계+당도계,없음,없음,O,O,061-749-3640,전라남도 순천시보건소,2022-08-08,B553430,한국건강증진개발원
연향건강생활지원센터,기본형,전라남도 순천시 팔마3길 14-7,34.93468249,127.516378,09:00,18:00,일+공휴일,금연+절주+신체활동+영양+비만+심뇌혈관,건강체험관 운영,0,3,1,1,0,0,0,행정인력(1),인바디+혈압계+혈당계+간기능검사,악력측정기+유연성검사+근지구력검사+배,런닝머신+순환식유압운동기,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형+영양프로그램,어린이 음주예방모형+음주체험고글,없음,O,X,061-749-4260,전라남도 순천시보건소,2022-08-08,B553430,한국건강증진개발원
완도군건강생활지원센터,기본형,전라남도 완도군 완도읍 청해진동로70,34.31779883,126.7355876,09:00,18:00,토+일+공휴일,신체활동+비만예방+영양사업+대사증후군발견사업,,0,1,2,1,0,0,1,청사관리인력(1),인바디+전자혈압계+자동신장측정계 등,악력측정기+유연성측정기+심폐지구력측정,런닝머신+스쿼트랙+전동꺼꾸리+토탈힙머,없음,염도계+식단/식품모형,없음,없음,X,X,061-550-6714,전라남도 완도군보건의료원,2022-08-08,B553430,한국건강증진개발원
봉산면건강생활지원센터,기본형,경상북도 김천시 봉산면 예지송정길 9,36.14144378,128.0598364,09:00,18:00,토+일+공휴일,심뇌혈관사업+치매예방사업+신체활동+심폐소생술 체험관+치매분소,건강증진실운영실+기억쉼터운영실+주민참,0,3,1,1,0,0,0,행정보조인력(1)+사회복무요원(2),인바디+혈압계+체중계+헬스 체크,악력측정기+자전거 에르고미터,런닝머신+순환식유압운동기,일산화탄소(CO)측정기+흡연자 폐모형,염도계+식단/식품모형+영양프로그램,어린이 음주예방모형+가상음주체험고글,기립훈련기+어깨회전운동기+슬링,O,X,054-421-2871,경상북도 김천시 보건소,2022-08-08,B553430,한국건강증진개발원
동부건강생활지원센터(김해시),기본형,경상남도 김해시 분성로727번길 8-35(지내동),35.2300251,128.9224445,09:00,18:00,일+공휴일,재활+만성질환관리+금연+절주+영양+신체활동,치매안심센터 동시 운영,0,2,1,1,1,0,0,,인바디+혈압계,악력측정기+자전거에르고미터,없음,일산화탄소(CO)측정기+흡연자 구강모,없음,음주체험고글,트레드밀+모토메드,X,X,055-320-5951,경상남도 김해시보건소,2022-08-08,B553430,한국건강증진개발원
주촌건강생활지원센터,기본형,경상남도 김해시 주촌면 주선로 29-1,35.23477742,128.8457571,09:00,18:00,토+일+공휴일,금연+신체활동+영양+심뇌혈관질환예방관리,,0,2,1,1,1,0,0,행정인력(1)+상담사(1),인바디+혈압계+당화혈색소측정기,악력측정기+앉아서윗몸앞으로굽히기측정기,알렉시아 유압식 순환근력장비+쇼울더링,일산화탄소(CO)측정기+폐모형+흡연구,식단모형+염분량입체모형+식품구성자석보,절주입쳬패널+가상음주체험키트,없음,O,X,055-330-2602,경상남도 김해시보건소,2022-08-08,B553430,한국건강증진개발원
삼천포건강생활지원센터,기본형,"경상남도 사천시 동금로 33, 2층",34.93092199,128.0790908,09:00,18:00,토+일+공휴일,신체활동+만성질환예방관리,건강체험관 운영,0,1,0,1,0,0,0,,인바디+혈압계,악력측정기+자전거,런닝머신+순환식유압운동기,없음,염도계,없음,없음,X,X,055-831-5461,경상남도 사천시보건소,2022-08-08,B553430,한국건강증진개발원
동부건강생활지원센터(양산시),기본형,경상남도 양산시 덕계회야길 68(덕계동),35.37512088,129.149228,09:00,18:00,토+일+공휴일,신체활동+절주+영양+심뇌+치매+비만,,0,3,1,2,1,0,0,임상병리(1),인바디+혈압계+혈당계+콜레스테롤측정기,시각반응측정기+자세보행측정기,없음,없음,없음,없음,없음,O,X,055-392-6981,경상남도 양산시보건소,2022-08-08,B553430,한국건강증진개발원
동부건강생활지원센터(창원시),기본형,경상남도 창원시 진해구 용원로 41번길 8,35.10025913,128.8143601,09:00,18:00,토+일+공휴일,금연+영양+신체활동+심뇌혈관질환예방관리,,0,1,1,1,0,0,0,행정인력(1),인바디+혈압계,없음,런닝머신+순환식유압운동기,일산화탄소(CO)측정기,없음,없음,없음,X,X,055-225-6221,경상남도 창원시진해보건소,2022-08-08,B553430,한국건강증진개발원
함안군건강생활지원센터,기본형,경상남도 함안군 칠원읍 용산1길 54-5,35.31011238,128.5167043,09:00,18:00,일+공휴일,농부증재활+신체활동+심뇌혈관질환예방관리,,0,1,0,1,1,0,0,,인바디+혈압계+혈당콜레스테롤측정기+당,악력측정기+자전거에르고미터,런닝머신+스텝퍼+워킹머신,일산화탄소(CO)측정기+흡연자 구강ㆍ,염도계+식단/식품모형+영양프로그램,없음,기립훈련기+어깨회전운동기+슬링+런닝머,X,X,055-580-3312,경상남도 함안군보건소,2022-08-08,B553430,한국건강증진개발원
노형건강생활지원센터,기본형,제주특별자치도 제주시 노형9길 9-4,33.48288157,126.4769921,09:00,18:00,토+일+공휴일,장애인 지역사회중심재활사업+건강상담실 운영 등,장애인 재활운동실 운영,0,1,0,0,2,0,1,,인바디+혈압계 등,없음,없음,없음,없음,없음,런닝머신+손발자전거등,X,X,064-728-8721,제주 제주시 제주보건소,2022-08-08,B553430,한국건강증진개발원
화북건강생활지원센터,기본형,제주특별자치도 제주시 동화로1길 45-22,33.51836381,126.5783832,09:00,18:00,토+일+공휴일,건강생활실천사업,,0,1,0,1,0,0,0,행정인력(1),인바디+혈압계,자전거에르고미터+악력계+종합체력진단장,트레드밀(2)+입식바이크+좌식바이크+,없음,없음,없음,없음,O,X,064-728-8511,제주 제주시 제주보건소,2022-08-08,B553430,한국건강증진개발원
